Filename,HiF,LoF,SppAccp,#Maj,#Accp,~Spp,1st,2nd,3rd,4th,Fc mean,Fc StdDev,Dur mean,Dur StdDev,calls/sec,mean HiFreq,mean LoFreq,mean UpprSlp,mean LwrSlp,mean TotalSlp,mean PrecedingIntvl,ParentDir,NextDirUp,FileLength(sec),SB|Version,AccpCallQuality,Max#CallsConsidered,MonitoringNight
BANFF-MOBILE_20240702_230509_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,0,,0,0,2024-07-02
BANFF-MOBILE_20240702_230532_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,0,,0,0,2024-07-02
BANFF-MOBILE_20240702_230557_000.wav,,1,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,14.19,,0.8,32,2024-07-02
BANFF-MOBILE_20240702_230853_000.wav,,,Epfu,4,4,,Epfu,,,,32.14,1.16,4.43,0.55,8.72,52.92,29.09,7.88,3.88,5.15,114.7,Processed,BNP,1.83,,0.8,32,2024-07-02
BANFF-MOBILE_20240702_230927_000.wav,,1,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,14.48,,0.8,32,2024-07-02
BANFF-MOBILE_20240702_230944_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,0,,0,0,2024-07-02
BANFF-MOBILE_20240702_230950_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,6.68,,0.8,32,2024-07-02
BANFF-MOBILE_20240702_231003_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,0,,0,0,2024-07-02
BANFF-MOBILE_20240702_231030_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,0,,0,0,2024-07-02
BANFF-MOBILE_20240702_231045_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,0,,0,0,2024-07-02
BANFF-MOBILE_20240702_231056_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,0,,0,0,2024-07-02
BANFF-MOBILE_20240702_231100_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,0,,0,0,2024-07-02
BANFF-MOBILE_20240702_231146_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,0,,0,0,2024-07-02
BANFF-MOBILE_20240702_231201_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,15,,0.8,32,2024-07-02
BANFF-MOBILE_20240702_231238_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,0,,0,0,2024-07-02
BANFF-MOBILE_20240702_231321_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,0,,0,0,2024-07-02
BANFF-MOBILE_20240702_231335_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,0,,0,0,2024-07-02
BANFF-MOBILE_20240702_231340_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,0,,0,0,2024-07-02
BANFF-MOBILE_20240702_231344_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,0,,0,0,2024-07-02
